id,date,latitude,longitude,timestamp,temp,feels_like,humidity,pressure,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,snow_1h,elevation,errors
1,15-01-2010,27.8453,-97.7797,1263535200,15.9,15.97,93,1012,8.2,70,12.9,100,2.4,0,29,[]
2,15-01-2010,28.22,-97.32,1263535200,15.53,15.62,95,1014,6.84,81,0,100,6.45,0,17,[]
3,15-01-2010,27.92,-97.14,1263535200,16.79,16.95,93,1013,9.8,80,14.9,100,7.39,0,7,[]
4,15-01-2010,28.7345,-96.2115,1263535200,15.82,15.89,93,1015,5.1,60,0,100,5.1,0,7,[]
5,15-01-2010,28.18,-97.77,1263535200,15.3,15.31,93,1014,5.7,70,8.2,100,3.72,0,53,[]
6,15-01-2010,27.7039,-98.0729,1263535200,15.76,15.9,96,1012,7.7,80,10.8,100,1.51,0,59,[]
7,15-01-2010,28.0611,-97.8147,1263535200,15.4,15.5,96,1013,4.49,66,0,100,3.12,0,39,[]
8,15-01-2010,28.5055,-96.6506,1263535200,15.07,15.01,91,1015,8.8,80,0,100,4.03,0,5,[]
9,28-01-2010,31.809,-102.4344,1264658400,12.57,12.39,96,1016,4.6,100,0,100,0.58,0,898,[]
10,28-01-2010,31.8855,-102.3758,1264658400,12.54,12.33,95,1016,5.7,110,0,100,0.17,0,895,[]
11,28-01-2010,31.9964,-102.1019,1264658400,12.85,12.49,88,1016,5.7,110,0,100,0.23,0,856,[]
12,28-01-2010,32.5162,-99.6433,1264658400,14.12,13.81,85,1019,4.69,127,0,100,0.35,0,530,[]
13,28-01-2010,32.7511,-98.9231,1264658400,14.03,13.76,87,1020,3.1,110,0,100,0.26,0,380,[]
14,28-01-2010,31.0565,-98.1852,1264658400,15.58,15.33,82,1020,3.1,120,0,100,0,0,316,[]
15,28-01-2010,31.4925,-97.9484,1264658400,14.79,14.6,87,1021,0,0,0,100,0,0,308,[]
16,28-01-2010,31.4581,-98.178,1264658400,14.67,14.36,83,1020,5.38,135,0,100,0,0,432,[]
17,29-01-2010,31.4581,-98.178,1264744800,12.93,12.86,99,1015,5.52,2,0,100,6.14,0,432,[]
18,28-01-2010,31.4732,-98.2164,1264658400,14.82,14.52,83,1020,5.38,135,0,100,0,0,396,[]
19,29-01-2010,31.4732,-98.2164,1264744800,13.08,13.03,99,1015,5.52,2,0,100,6.14,0,396,[]
20,29-01-2010,32.8084,-96.5005,1264744800,9.07,5.8,94,1016,6.82,72,0,100,0.44,0,135,[]
21,29-01-2010,33.3455,-96.2857,1264744800,4.61,-0.16,90,1017,7.48,85,0,100,1.39,0,200,[]
22,03-02-2010,28.0309,-98.1033,1265176800,11.36,11.03,95,1017,5.91,75,0,100,0.56,0,95,[]
23,03-02-2010,28.3462,-97.8291,1265176800,11.42,11.05,93,1018,6.7,80,8.7,100,0.69,0,66,[]
24,04-02-2010,29.7378,-98.4942,1265263200,9.06,6.56,99,1012,4.65,53,0,100,1.45,0,343,[]
25,04-02-2010,33.2767,-95.7316,1265263200,5.42,2.32,90,1019,4.1,70,0,100,0.68,0,143,[]
26,04-02-2010,33.1438,-95.4897,1265263200,5.31,2.18,90,1019,4.1,70,0,100,0.74,0,140,[]
27,05-02-2010,33.1438,-95.4897,1265349600,5.69,3.64,95,1013,2.6,340,0,100,0.57,0,140,[]
28,24-03-2010,32.8095,-98.0663,1269406800,17.39,16.93,67,1010,4.6,140,0,0,0,0,271,[]
29,12-04-2010,26.9111,-99.2651,1271048400,21.91,22.32,83,1018,7.2,110,9.8,100,1.66,0,116,[]
30,12-04-2010,27.384,-98.1776,1271048400,20.95,21.56,94,1019,4.41,99,0,100,0,0,59,[]
31,12-04-2010,31.92,-104.85,1271048400,9.83,5.63,61,1016,11.8,50,0,0,0,0,2411,[]
32,14-04-2010,31.4311,-106.1362,1271221200,20.43,19.81,49,1009,3.72,165,0,76,0,0,1088,[]
33,14-04-2010,29.13,-103.52,1271221200,22.05,21.77,56,1012,4.62,128,0,66,0,0,648,[]
34,15-04-2010,32.0173,-102.0005,1271307600,16.24,16.35,93,1018,4.6,120,0,100,0.59,0,843,[]
35,15-04-2010,28.5671,-99.8407,1271307600,20.91,21.46,92,1017,5.85,110,0,100,0.11,0,168,[]
36,15-04-2010,29.3469,-98.8244,1271307600,19.46,20.07,100,1019,4.1,110,8.7,100,0,0,230,[]
37,15-04-2010,27.6209,-98.6833,1271307600,20.74,21.32,94,1017,7.52,107,0,100,0,0,233,[]
38,15-04-2010,29.63,-99.52,1271307600,18.4,18.88,99,1019,5.19,110,0,100,0.11,0,426,[]
39,15-04-2010,29.71,-99.54,1271307600,18.11,18.56,99,1019,5.19,110,0,100,0.11,0,482,[]
40,15-04-2010,30.07,-99.42,1271307600,17.21,17.57,99,1019,5.72,115,0,100,0,0,624,[]
41,15-04-2010,30.0609,-99.398,1271307600,17.5,17.89,99,1019,5.72,115,0,100,0,0,560,[]
42,15-04-2010,30.06,-99.35,1271307600,17.38,17.76,99,1019,5.29,114,0,100,0,0,603,[]
43,16-04-2010,28.6076,-98.5748,1271394000,21,21.51,90,1019,5.59,115,0,97,0,0,90,[]
44,16-04-2010,28.5032,-98.2349,1271394000,20.78,21.29,91,1019,5.49,116,0,81,0,0,77,[]
45,16-04-2010,28.5007,-97.9115,1271394000,20.37,20.84,91,1019,5.39,117,0,82,0,0,123,[]
46,16-04-2010,29.38,-100.9,1271394000,19.96,20.36,90,1018,8.2,110,0,100,0.95,0,321,[]
47,16-04-2010,29.38,-100.9,1271394000,19.96,20.36,90,1018,8.2,110,0,100,0.95,0,321,[]
48,16-04-2010,28.41,-98.02,1271394000,20.79,21.3,91,1019,5.39,117,0,82,0,0,89,[]
49,16-04-2010,28.92,-99.09,1271394000,20.44,20.94,92,1019,5.81,119,0,100,0,0,194,[]
50,16-04-2010,33.6032,-101.89,1271394000,14.03,13.92,93,1021,3.6,40,0,100,1.3,0,985,[]
51,17-04-2010,33.6032,-101.89,1271480400,9.65,6.3,86,1021,7.7,20,11.3,100,0.8,0,985,[]
52,18-04-2010,33.6032,-101.89,1271566800,9.78,8.5,86,1020,2.6,20,0,100,0,0,985,[]
53,16-04-2010,34.1118,-101.8378,1271394000,13.51,13.42,96,1021,0,0,0,40,1.76,0,1046,[]
54,17-04-2010,34.1118,-101.8378,1271480400,8.54,4.86,97,1022,7.69,25,0,100,0.27,0,1046,[]
55,18-04-2010,34.1118,-101.8378,1271566800,9.08,7.35,88,1020,3.1,50,0,100,0,0,1046,[]
56,16-04-2010,33.9365,-101.4175,1271394000,14.01,13.97,96,1021,2.29,77,0,100,1.64,0,976,[]
57,17-04-2010,33.9365,-101.4175,1271480400,9.4,5.91,97,1022,7.92,24,0,100,0.24,0,976,[]
58,18-04-2010,33.9365,-101.4175,1271566800,9.55,7.6,86,1020,3.68,20,0,99,0,0,976,[]
59,16-04-2010,34.1,-100.88,1271394000,15.18,15.21,94,1021,2.95,78,0,100,1.96,0,730,[]
60,17-04-2010,34.1,-100.88,1271480400,10.41,10.04,97,1021,8.28,22,0,100,0.29,0,730,[]
61,18-04-2010,34.1,-100.88,1271566800,10.4,9.87,91,1019,4.78,12,0,100,0,0,730,[]
62,16-04-2010,34.6219,-100.7858,1271394000,15.74,15.8,93,1021,1.98,86,0,100,1.43,0,615,[]
63,17-04-2010,34.6219,-100.7858,1271480400,10.56,10.1,93,1022,6.01,23,0,100,0.49,0,615,[]
64,18-04-2010,34.6219,-100.7858,1271566800,11.11,10.7,93,1019,2.98,12,0,100,0,0,615,[]
65,16-04-2010,34.5609,-100.3134,1271394000,16.71,16.84,92,1021,2.1,70,0,100,1.25,0,519,[]
66,17-04-2010,34.5609,-100.3134,1271480400,11.18,10.65,88,1022,6.2,40,11.3,100,0.38,0,519,[]
67,18-04-2010,34.5609,-100.3134,1271566800,11.26,10.74,88,1019,4.6,10,0,100,0,0,519,[]
68,16-04-2010,28.1479,-97.962,1271394000,21.13,21.67,91,1019,5.6,117,0,80,0,0,38,[]
69,16-04-2010,27.4154,-98.4344,1271394000,21.44,22.02,91,1019,5.16,110,0,99,0,0,116,[]
70,16-04-2010,27.99,-97.97,1271394000,21.31,21.82,89,1019,5.56,117,0,86,0,0,66,[]
